longitude,latitude,score
34.575,28.675,-0.0764930159777974
34.625,28.675,-0.0712707208453472
34.775,28.675,-0.0507154142387249
48.625,28.675,-0.263166476617112
48.675,28.675,-0.262216530651928
32.875,28.625,-0.0965565061717315
33.175,28.625,-0.0716803743940221
33.225,28.625,-0.079267577025599
34.575,28.625,-0.057679189451769
34.775,28.625,-0.0275606427781845
48.425,28.625,-0.225327394078971
48.625,28.625,-0.247800570453143
32.875,28.575,-0.0984088585633071
32.925,28.575,-0.0946524974531917
33.175,28.575,-0.063122747274438
33.225,28.575,-0.0661010403586753
34.575,28.575,-0.0489195777028026
34.775,28.575,-0.0195262463325088
32.925,28.525,-0.0907765293674162
32.975,28.525,-0.0872632717178346
33.225,28.525,-0.0539064327872267
34.525,28.525,-0.0559284864299187
34.775,28.525,-0.0142070823186662
34.825,28.525,-0.00714603031720896
129.575,28.525,-0.236488696301581
129.625,28.525,-0.248482488121413
129.675,28.525,-0.262248467541967
129.725,28.525,-0.264987488245568
-178.375,28.475,-0.216115994796302
-178.325,28.475,-0.221078984169174
-178.275,28.475,-0.220301201768628
32.975,28.475,-0.0408606127011915
33.025,28.475,-0.038352003528235
33.325,28.475,-0.0658191161486308
34.475,28.475,-0.0732685478666049
34.525,28.475,-0.0629873314413511
34.775,28.475,-0.0128052211112048
129.475,28.475,-0.210889146643585
129.525,28.475,-0.228204648639425
129.575,28.475,-0.241980239417722
129.725,28.475,-0.262263372393262
-178.375,28.425,-0.211290930621964
-178.325,28.425,-0.215955430756535
-178.275,28.425,-0.216580175139684
33.025,28.425,-0.0391950994167623
33.075,28.425,-0.0429760528284404
33.325,28.425,-0.0766377609538697
34.475,28.425,-0.0776953631909191
34.725,28.425,-0.0206594396726985
48.525,28.425,-0.227853776358575
129.375,28.425,-0.204673919329043
129.425,28.425,-0.204543241577478
129.475,28.425,-0.212229021646387
129.725,28.425,-0.253447652714819
129.975,28.425,-0.289486156459547
130.025,28.425,-0.28228776127293
130.075,28.425,-0.280511212182114
-178.375,28.375,-0.192303316176324
-178.325,28.375,-0.18835889544983
-178.275,28.375,-0.190079181882032
-176.625,28.375,-0.249737061881151
33.075,28.375,-0.0771157711386306
33.125,28.375,-0.0852097892005441
33.425,28.375,-0.1158294267844
34.725,28.375,-0.0638292617270455
129.225,28.375,-0.247422870595911
129.275,28.375,-0.235810952119547
129.325,28.375,-0.219494540237771
129.375,28.375,-0.208882443905028
129.625,28.375,-0.211639215410117
129.675,28.375,-0.216554895912588
129.925,28.375,-0.252551937440501
129.975,28.375,-0.291014859963506
130.025,28.375,-0.285967360075024
130.075,28.375,-0.284198384622466
33.125,28.325,-0.0867248215844041
33.325,28.325,-0.097866973528309
33.425,28.325,-0.117432940837988
33.475,28.325,-0.12712977583383
34.425,28.325,-0.0965708335204856
34.675,28.325,-0.0851506022954396
34.725,28.325,-0.0787900909606881
129.175,28.325,-0.267821786557776
129.225,28.325,-0.255041981289343
129.275,28.325,-0.243230197282124
129.575,28.325,-0.204320709137767
129.625,28.325,-0.206782803311765
129.675,28.325,-0.210288116441756
129.875,28.325,-0.244497957804696
129.925,28.325,-0.242827597860546
129.975,28.325,-0.285038985803222
130.025,28.325,-0.286658959989928
130.075,28.325,-0.28629932253375
-177.425,28.275,-0.195160778869139
-177.375,28.275,-0.206121664629771
-177.325,28.275,-0.209755853456656
33.125,28.275,-0.0891767627708574
33.175,28.275,-0.0685528900676176
